horizon,fold,rmse_lstm,mae_lstm,rmse_naive,mae_naive,acc_lstm,f1_lstm,acc_naive,f1_naive,seed
7d,1,0.07461655451394579,0.061206176378843964,0.06463968160262377,0.05412698053859231,0.55,0.6582278481012658,0.4666666666666667,0.0,42
7d,2,0.09797423520255952,0.06936174983895779,0.09241896809183006,0.06568117486137524,0.6,0.6923076923076923,0.26666666666666666,0.0,42
7d,3,0.09953734750609419,0.08076173832427648,0.04996371284905941,0.03989878854853727,0.31666666666666665,0.22641509433962265,0.4,0.0,42
7d,4,0.052073933151868666,0.04217869732527458,0.05476090122666855,0.04098747082103798,0.6166666666666667,0.43902439024390244,0.65,0.0,42
7d,5,0.06317937590465329,0.05028854438404792,0.05770678340532485,0.04552013994417197,0.45,0.56,0.25,0.0,42
7d,6,0.04160764601899525,0.03367614918591797,0.03778739409205236,0.028130375026456166,0.5833333333333334,0.6666666666666666,0.36666666666666664,0.0,42
7d,7,0.04100709228708771,0.03416179668967067,0.03613022575420806,0.030098076954832364,0.5666666666666667,0.07142857142857142,0.55,0.0,42
7d,8,0.10854413247780673,0.09607925904726744,0.069810824900593,0.060842152350921275,0.3333333333333333,0.375,0.6666666666666666,0.0,42
7d,9,0.04943354315287364,0.04277566632205427,0.03976364051942588,0.03204779807615435,0.6,0.6,0.45,0.0,42
7d,10,0.0945145923185006,0.06954346309215902,0.07537845131666633,0.053447801662586336,0.4489795918367347,0.4,0.5918367346938775,0.0,42
