model,horizon,fold,rmse_model,rmse_naive,delta_rmse,mae_model,mae_naive,delta_mae,model_better_rmse,model_better_mae
predictions_final_best,1,1,0.03435287576190171,0.030248710614972044,0.00410416514692967,0.02498803681938444,0.022045915997371712,0.002942120822012728,False,False
predictions_final_best,1,2,0.03693228544922273,0.027442079901143474,0.009490205548079257,0.025838386801832702,0.01907056521362547,0.006767821588207233,False,False
predictions_final_best,1,3,0.03684400505294002,0.023731974328507075,0.013112030724432944,0.030668924259867336,0.018010539938849584,0.012658384321017752,False,False
predictions_final_best,1,4,0.03121885342779914,0.029149223808701472,0.002069629619097669,0.021798982818243037,0.020960952360118634,0.000838030458124403,False,False
predictions_final_best,1,5,0.03255009796099437,0.024190348486159398,0.00835974947483497,0.024435253268451078,0.016191108890061406,0.008244144378389672,False,False
predictions_final_best,1,6,0.02532753299858415,0.016555626213452725,0.008771906785131425,0.019750780039602102,0.012328461132757583,0.0074223189068445185,False,False
predictions_final_best,1,7,0.015797403826960675,0.014985876609964088,0.0008115272169965868,0.011915107286790917,0.01137087483154471,0.0005442324552462074,False,False
predictions_final_best,1,8,0.02463071036121878,0.021961504390777015,0.002669205970441766,0.01927464462148194,0.017488007405969296,0.001786637215512643,False,False
predictions_final_best,1,9,0.026988994178152658,0.019436333845648326,0.007552660332504332,0.018607099487662867,0.014281299860380816,0.004325799627282051,False,False
predictions_final_best,3,1,0.06101344384995482,0.05318964345265599,0.007823800397298832,0.04989900776207833,0.042516314740206236,0.007382693021872097,False,False
predictions_final_best,3,2,0.07236815957181633,0.05508434355882647,0.01728381601298986,0.04966315391454605,0.0411957172583927,0.008467436656153349,False,False
predictions_final_best,3,3,0.057413884260027775,0.03841888023522416,0.018995004024803613,0.048158944036492055,0.03170796064073979,0.016450983395752267,False,False
predictions_final_best,3,4,0.048473680533808655,0.04003698751348282,0.008436693020325833,0.03581336903136733,0.02845058355245833,0.007362785478908999,False,False
predictions_final_best,3,5,0.059766650336211695,0.04039553105408559,0.019371119282126106,0.04934997782746298,0.029387208156245105,0.019962769671217878,False,False
predictions_final_best,3,6,0.052959656826520214,0.02763369320007654,0.025325963626443675,0.043579053950894904,0.02065379809414964,0.022925255856745264,False,False
predictions_final_best,3,7,0.02378540136153156,0.02299674340728313,0.0007886579542484284,0.019612585345469936,0.019124720807853622,0.0004878645376163136,False,False
predictions_final_best,3,8,0.05392924135629434,0.04036444511718942,0.01356479623910492,0.04472175074665503,0.034054659386174815,0.010667091360480212,False,False
predictions_final_best,3,9,0.0420161057761409,0.032972972968821644,0.009043132807319255,0.03574860646761995,0.02607902251029641,0.009669583957323542,False,False
predictions_final_best,7,1,0.09307678748227881,0.0726576824019678,0.020419105080311015,0.07264357300654509,0.05929359063016459,0.0133499823763805,False,False
predictions_final_best,7,2,0.10796205304323689,0.0932408373189338,0.014721215724303086,0.07452308257341071,0.06752109517239105,0.007001987401019663,False,False
predictions_final_best,7,3,0.0826589534220629,0.04995730120226151,0.0327016522198014,0.06867690179366298,0.04028395808960297,0.02839294370406001,False,False
predictions_final_best,7,4,0.0559263020818145,0.05408288126876299,0.0018434208130515065,0.04677332742560691,0.039661370208379856,0.007111957217227051,False,False
predictions_final_best,7,5,0.0723944559677504,0.05802074363680719,0.014373712330943214,0.05526627644832565,0.04573115956637587,0.00953511688194978,False,False
predictions_final_best,7,6,0.0576602518082649,0.038916482772475,0.0187437690357899,0.049586029902099434,0.030015037062566773,0.01957099283953266,False,False
predictions_final_best,7,7,0.03223117541948567,0.03358009167574387,-0.0013489162562582008,0.026953335682477247,0.02722292160425131,-0.0002695859217740626,True,True
predictions_final_best,7,8,0.0980190193934464,0.0689325792153686,0.029086440178077794,0.08366911100416191,0.05966587902030827,0.024003231983853644,False,False
predictions_final_best,7,9,0.04889656717068304,0.03960844187763128,0.009288125293051758,0.04135946871523293,0.03191876104718149,0.00944070766805144,False,False
