provider,horizon,rmse_lstm_mean,mae_lstm_mean,rmse_naive_mean,mae_naive_mean,acc_lstm_mean,f1_lstm_mean,acc_naive_mean,f1_naive_mean,num_folds
openai,1d,0.029305997791360266,0.022325951302525432,0.023077964244369545,0.016860858403408847,0.5148148148148147,0.4716298428502575,0.49074074074074076,0.0,9
openai,3d,0.05241360641619566,0.04233210058398443,0.03901036005640512,0.03035222057183523,0.4722222222222222,0.41688584448301735,0.4574074074074074,0.0,9
openai,7d,0.07247621410353434,0.058944816386733906,0.0565552268188836,0.044590419155691396,0.43518518518518523,0.3688966320364107,0.4537037037037038,0.0,9
claude,1d,0.02894541442122948,0.021986000468382557,0.023077964244369545,0.016860858403408847,0.5166666666666667,0.42021260251833903,0.49074074074074076,0.0,9
claude,3d,0.0533559057343215,0.04225457489839754,0.03901036005640512,0.03035222057183523,0.4740740740740741,0.4243076339523295,0.4574074074074074,0.0,9
claude,7d,0.07085902662925521,0.057404632588642986,0.0565552268188836,0.044590419155691396,0.49259259259259264,0.4742227288050832,0.4537037037037038,0.0,9
gemini,1d,0.029341000485691746,0.022404826448813586,0.023077964244369545,0.016860858403408847,0.5259259259259259,0.465108982326357,0.49074074074074076,0.0,9
gemini,3d,0.04942365753855637,0.0395706070249999,0.03901036005640512,0.03035222057183523,0.4833333333333334,0.4552398622580021,0.4574074074074074,0.0,9
gemini,7d,0.0715057970187759,0.058241470557463676,0.0565552268188836,0.044590419155691396,0.4574074074074075,0.3886430424612719,0.4537037037037038,0.0,9
